㐀,廿一,TM
賌,卜人月山金,YOBUC
賍,月金戈土,BCIG
賎,月金戈手,BCIQ
賏,月金月山金,BCBUC
賐,月金戈金水,BCICE
賑,月金一一女,BCMMV
賒,月金人一火,BCOMF
賓,十一竹金,JMHC
賔,十日竹金,JAHC
賕,月金戈十水,BCIJE
賖,月金人一木,BCOMD
賗,月金中中,BCLL
賘,月金戈土戈,BCIGI
賙,月金月土口,BCBGR
賚,木人月山金,DOBUC
賛,手人月山金,QOBUC
賜,月金日心竹,BCAPH
賝,月金月金木,BCBCD
賞,火月口月金,FBRBC
賟,月金廿月金,BCTBC
賠,月金卜廿口,BCYTR
賡,戈中人金,ILOC
賢,尸水月山金,SEBUC
賣,土田中金,GWLC
賤,月金戈戈,BCII
賥,月金卜人十,BCYOJ
賦,月金一心一,BCMPM
賧,月金火火,BCFF
賨,十一一金,JMMC
賩,月金十一火,BCJMF
質,竹中月山金,HLBUC
賫,十月月山金,JBBUC
賬,月金尸一女,BCSMV
賭,月金十大日,BCJKA
賮,中一火月金,LMFBC
賯,月金心日木,BCPAD
賰,月金手大日,BCQKA
賱,月金月十十,BCBJJ
賲,人木月山金,ODBUC
賳,月金十戈口,BCJIR
賴,木中尸竹金,DLSHC
賵,月金日月山,BCABU
賶,月金人戈口,BCOIR
賷,十月月山金,JBBUC
賸,月火手金,BFQC
賹,月金廿金廿,BCTCT
賺,月金廿難金,BCTXC
賻,月金戈月戈,BCIBI
購,月金廿廿月,BCTTB
賽,十廿金金,JTCC
賾,尸中手一金,SLQMC
賿,月金尸一竹,BCSMH
贀,尸水月山金,SEBUC
贁,難月金人大,XBCOK
贂,月金戈戈竹,BCIIH
贃,月金中中心,BCLLP
贄,土戈月山金,GIBUC
贅,土大月山金,GKBUC
贆,月金戈大大,BCIKK
贇,卜一月山金,YMBUC
贈,月金金田日,BCCWA
贉,月金一田十,BCMWJ
贊,竹山月山金,HUBUC
贋,一人土金,MOGC
贌,月金廿金人,BCTCO
贍,月金弓金口,BCNCR
贎,月金廿田月,BCTWB
贏,卜口月月弓,YRBBN
贐,月金中一廿,BCLMT
贑,卜十一月金,YJMBC
贒,尸心月山金,SPBUC
贓,月金戈一尸,BCIMS
贔,月金月金金,BCBCC
贕,竹竹尸中金,HHSLC
贖,月金土田金,BCGWC
贗,一火月山金,MFBUC
贘,月金火月金,BCFBC
贙,卜山月山金,YUBUC
贚,月金卜月心,BCYBP
贛,卜十竹水金,YJHEC
贜,月金廿戈尸,BCTIS
贝,月人,BO
贞,卜月人,YBO
负,弓月人,NBO
贠,戈月人,IBO
贡,難一月人,XMBO
财,月人木竹,BODH
责,手一月人,QMBO
贤,中水月人,LEBO
败,月人人大,BOOK
账,月人心人,BOPO
货,人心月人,OPBO
质,竹十月人,HJBO
贩,月人竹水,BOHE
贪,難人戈弓人,XOINO
贫,金尸竹人,CSHO
贬,月人竹戈人,BOHIO
购,月人心戈,BOPI
贮,月人十一,BOJM
贯,田十月人,WJBO
贰,戈心一一人,IPMMO
贱,難月人戈十,XBOIJ
贲,十廿月人,JTBO
贳,難心廿月人,XPTBO
贴,月人卜口,BOYR
贵,中一月人,LMBO
贶,月人口竹山,BORHU
贷,難人心月人,XOPBO
贸,竹竹月人,HHBO
费,中弓月人,LNBO
贺,大口月人,KRBO
贻,月人戈口,BOIR
贼,月人戈十,BOIJ
贽,手戈月人,QIBO
贾,一田月人,MWBO
贿,月人大月,BOKB
赀,卜心月人,YPBO
赁,人土月人,OGBO
赂,月人竹水口,BOHER
赃,月人戈土,BOIG
资,戈人月人,IOBO
赅,月人卜女人,BOYVO
赆,月人尸人卜,BOSOY
赇,月人戈十水,BOIJE
赈,月人一一女,BOMMV
赉,難木廿月人,XDTBO
赊,月人人一火,BOOMF
赋,月人一心一,BOMPM
赌,月人十大日,BOJKA
赍,十月月人,JBBO
赎,月人十弓大,BOJNK
赏,火月口月人,FBRBO
赐,月人日心竹,BOAPH
赑,月人月人人,BOBOO
赒,月人月土口,BOBGR
赓,戈中人人,ILOO
赔,月人卜廿口,BOYTR
赕,月人火火,BOFF
赖,木中弓月人,DLNBO
赗,月人日月山,BOABU
赘,手大月人,QKBO
赙,月人戈月戈,BOIBI
赚,月人廿難金,BOTXC
赛,十廿金人,JTCO
赜,尸中手一人,SLQMO
赝,一人土人,MOGO
赞,竹山月人,HUBO
赟,卜一月人,YMBO
赠,月人金田日,BOCWA
赡,月人弓金口,BONCR
赢,卜弓月人,YNBO
赣,卜十竹水人,YJHEO
赤,土中弓金,GLNC
赥,土金弓人,GCNO
赦,土金人大,GCOK
赧,土金尸中水,GCSLE
赨,土金中一戈,GCLMI
赩,土金弓日山,GCNAU
赪,土金卜月人,GCYBO
赫,土金土中金,GCGLC
赬,土金卜月金,GCYBC
赭,土金十大日,GCJKA
赮,土金口卜水,GCRYE
赯,土金戈中口,GCILR
走,土卜人,GYO
赱,土金人,GCO
赲,土人大尸,GOKS
赳,土人女中,GOVL
赴,土人卜,GOY
赵,土人大,GOK
赶,土人一十,GOMJ
起,土人口山,GORU
赸,土人山,GOU
赹,土人心戈一,GOPIM
赺,土人人戈弓,GOOIN
赻,土人火竹,GOFH
赼,土人弓人,GONO
赽,土人木大,GODK
赾,土人竹一中,GOHML
赿,土人竹女心,GOHVP
趀,土人中難竹,GOLXH
趁,土人人竹竹,GOOHH
趂,土人弓火,GONF
趃,土人竹手人,GOHQO
趄,土人月一,GOBM
超,土人尸竹口,GOSHR
趆,土人竹女戈,GOHVI
趇,土人卜廿,GOYT
趈,土人卜口,GOYR
趉,土人山山,GOUU
越,土人戈女,GOIV
趋,土人弓尸一,GONSM
趌,土人土口,GOGR
趍,土人弓戈弓,GONIN
趎,土人竹十木,GOHJD
趏,土人竹十口,GOHJR
趐,土人尸一一,GOSMM
趑,土人戈一人,GOIMO
趒,土人中一人,GOLMO
趓,土人竹弓木,GOHND
趔,土人一弓弓,GOMNN
趕,土人日一十,GOAMJ
趖,土人人人土,GOOOG
趗,土人口卜人,GORYO
趘,土人尸竹山,GOSHU
趙,土人火月,GOFB
趚,土人木中,GODL
趛,土人金,GOC
趜,土人心火木,GOPFD
趝,土人人戈心,GOOIP
趞,土人廿日,GOTA
趟,土人火月口,GOFBR
趠,土人卜日十,GOYAJ
趡,土人人土,GOOG
趢,土人女弓水,GOVNE
趣,土人尸十水,GOSJE
趤,土人十一口,GOJMR
趥,土人廿金田,GOTCW
趦,土人戈人口,GOIOR
趧,土人日一人,GOAMO
趨,土人心山山,GOPUU
趩,土人田廿金,GOWTC
趪,土人廿一金,GOTMC
趫,土人竹大月,GOHKB
趬,土人土土山,GOGGU
趭,土人人土火,GOOGF
趮,土人口口木,GORRD
趯,土人尸一土,GOSMG
趰,土人一火月,GOMFB
趱,土人竹山人,GOHUO
趲,土人竹山金,GOHUC
足,口卜人,RYO
趴,口一金,RMC
趵,口一心戈,RMPI
趶,口一一木,RMMD
趷,口一人弓,RMON
趸,一尸口卜人,MSRYO
趹,口一木大,RMDK
趺,口一手人,RMQO
趻,口一人戈弓,RMOIN
趼,口一一廿,RMMT
趽,口一卜竹尸,RMYHS
趾,口一卜中一,RMYLM
趿,口一弓竹水,RMNHE
跀,口一月,RMB
跁,口一日山,RMAU
跂,口一十水,RMJE
跃,口一竹大,RMHK
跄,口一人尸山,RMOSU
跅,口一竹一卜,RMHMY
跆,口一戈口,RMIR
跇,口一心廿,RMPT
跈,口一人竹竹,RMOHH
跉,口一人戈戈,RMOII
跊,口一十木,RMJD
跋,口一戈大大,RMIKK
跌,口一竹手人,RMHQO
跍,口一十口,RMJR
跎,口一十心,RMJP
跏,口一大尸口,RMKSR
跐,口一卜一心,RMYMP
跑,口一心口山,RMPRU
跒,口一一弓口,RMMNR
跓,口一卜土,RMYG
跔,口一心口,RMPR
跕,口一卜口,RMYR
跖,口一一口,RMMR
跗,口一人木戈,RMODI
跘,口一火手,RMFQ
跙,口一月一,RMBM
跚,口一月廿,RMBT
跛,口一木竹水,RMDHE
跜,口一尸心,RMSP
距,口一尸尸,RMSS
跞,口一竹女木,RMHVD
跟,口一日女,RMAV
跠,口一大弓,RMKN
跡,口一卜中金,RMYLC
跢,口一弓戈弓,RMNIN
跣,口一竹土山,RMHGU
跤,口一卜金大,RMYCK
跥,口一弓尸木,RMNSD
跦,口一竹十木,RMHJD
跧,口一人一土,RMOMG
跨,口一大一尸,RMKMS
跩,口一中田心,RMLWP
跪,口一弓一山,RMNMU
跫,一弓口卜人,MNRYO
跬,口一土土,RMGG
跭,口一竹水手,RMHEQ
跮,口一一戈土,RMMIG
路,口一竹水口,RMHER
跰,口一廿廿,RMTT
跱,口一土木戈,RMGDI
跲,口一人一口,RMOMR
跳,口一中一人,RMLMO
跴,口一一金田,RMMCW
践,口一戈十,RMIJ
跶,口一卜大,RMYK
跷,口一十心山,RMJPU
跸,口一心心十,RMPPJ
跹,口一卜竹十,RMYHJ
跺,口一竹弓木,RMHND
跻,口一卜大中,RMYKL
跼,口一尸尸口,RMSSR
跽,口一尸山心,RMSUP
跾,人大口卜人,OKRYO
跿,口一土卜人,RMGYO
踀,口一口卜人,RMRYO
踁,口一一女一,RMMVM
踂,口一尸十山,RMSJU
踃,口一火月,RMFB
踄,口一卜中竹,RMYLH
踅,手中口卜人,QLRYO
踆,口一戈金水,RMICE
踇,口一人田卜,RMOWY
踈,口一木中,RMDL
踉,口一戈日女,RMIAV
踊,口一弓戈月,RMNIB
踋,口一土戈中,RMGIL
踌,口一手大戈,RMQKI
踍,口一十大木,RMJKD
踎,口一一火口,RMMFR
踏,口一水日,RMEA
踐,口一戈戈,RMII
踑,口一廿一金,RMTMC
踒,口一竹木女,RMHDV
踓,口一人土,RMOG
踔,口一卜日十,RMYAJ
踕,口一十中人,RMJLO
踖,口一廿日,RMTA
踗,口一人戈心,RMOIP
踘,口一心火木,RMPFD
踙,口一尸十水,RMSJE
踚,口一人一月,RMOMB
踛,口一土金土,RMGCG
踜,口一土金水,RMGCE
踝,口一田木,RMWD
踞,口一尸十口,RMSJR
踟,口一人大口,RMOKR
踠,口一十弓山,RMJNU
踡,口一火手山,RMFQU
踢,口一日心竹,RMAPH
踣,口一卜廿口,RMYTR
踤,口一卜人十,RMYOJ
踥,口一卜廿女,RMYTV
踦,口一大一口,RMKMR
踧,口一卜火水,RMYFE
踨,口一人人人,RMOOO
踩,口一月木,RMBD
踪,口一十一火,RMJMF
踫,口一廿廿金,RMTTC
踬,口一竹十人,RMHJO
踭,口一月尸木,RMBSD
踮,口一戈卜口,RMIYR
踯,難口一廿大,XRMTK
踰,口一人一弓,RMOMN
踱,口一戈廿水,RMITE
踲,口一竹十山,RMHJU
踳,口一手大日,RMQKA
踴,口一弓月尸,RMNBS
踵,口一竹十土,RMHJG
踶,口一日一人,RMAMO
踷,口一十大日,RMJKA
踸,口一廿一女,RMTMV
踹,口一山一月,RMUMB
踺,口一弓大手,RMNKQ
踻,口一月月口,RMBBR
踼,口一日一竹,RMAMH
踽,口一竹中月,RMHLB
踾,口一一口田,RMMRW
踿,口一竹木火,RMHDF
蹀,口一心廿木,RMPTD
蹁,口一竹尸月,RMHSB
蹂,口一弓竹木,RMNHD
蹃,口一廿大口,RMTKR
蹄,口一卜月月,RMYBB
蹅,口一木日一,RMDAM
蹆,口一卜日女,RMYAV
蹇,十廿金人,JTCO
蹈,口一月竹難,RMBHX
蹉,口一廿手一,RMTQM
蹊,口一月女大,RMBVK
蹋,口一日尸一,RMASM
蹌,口一人戈口,RMOIR
蹍,口一尸廿女,RMSTV
蹎,口一十月金,RMJBC
蹏,口一竹卜山,RMHYU
蹐,口一火金月,RMFCB
蹑,難口一尸十,XRMSJ
蹒,口一廿一月,RMTMB
蹓,口一竹竹田,RMHHW
蹔,十中口卜人,JLRYO
蹕,口一田廿十,RMWTJ
蹖,口一手大難,RMQKX
蹗,口一戈難心,RMIXP
蹘,口一尸一竹,RMSMH
蹙,戈火口卜人,IFRYO
蹚,口一火月土,RMFBG
蹛,口一大心月,RMKPB
蹜,口一十人日,RMJOA
蹝,口一竹人人,RMHOO
蹞,口一心一金,RMPMC
蹟,口一手一金,RMQMC
蹠,口一戈廿火,RMITF
蹡,口一女一戈,RMVMI
蹢,口一卜金月,RMYCB
蹣,口一廿中月,RMTLB
蹤,口一竹人人,RMHOO
蹥,口一卜十十,RMYJJ
蹦,口一山月月,RMUBB
蹧,口一廿田日,RMTWA
蹨,口一月大火,RMBKF
蹩,火大口卜人,FKRYO
蹪,口一中一金,RMLMC
蹫,口一弓竹月,RMNHB
蹬,口一弓人廿,RMNOT
蹭,口一金田日,RMCWA
蹮,口一一田山,RMMWU
蹯,口一竹木田,RMHDW
蹰,口一一一戈,RMMMI
蹱,口一卜廿土,RMYTG
蹲,口一廿田戈,RMTWI
蹳,口一弓人水,RMNOE
蹴,口一卜火山,RMYFU
蹵,卜山口卜人,YURYO
蹶,口一一廿人,RMMTO
蹷,一人口卜人,MORYO
蹸,口一火木手,RMFDQ
蹹,口一人口一,RMORM
蹺,口一土土山,RMGGU
蹻,口一竹大月,RMHKB
蹼,口一廿金人,RMTCO
蹽,口一大金火,RMKCF
蹾,口一卜木大,RMYDK
蹿,口一十金中,RMJCL
躀,口一田十金,RMWJC
躁,口一口口木,RMRRD
躂,口一卜土手,RMYGQ
躃,口一尸口十,RMSRJ
躄,尸十口卜人,SJRYO
躅,口一田中戈,RMWLI
躆,口一卜心人,RMYPO
躇,口一廿十日,RMTJA
躈,口一竹尸大,RMHSK
躉,廿田月人,TWBO
躊,口一土弓戈,RMGNI
躋,口一卜難,RMYX
躌,口一人廿手,RMOTQ
躍,口一尸一土,RMSMG
躎,口一一火月,RMMFB
躏,口一廿中土,RMTLG
躐,口一女女女,RMVVV
躑,口一廿大中,RMTKL
躒,口一女戈木,RMVID
躓,口一竹中金,RMHLC
躔,口一戈田土,RMIWG
躕,口一戈土戈,RMIGI
躖,口一女戈一,RMVIM
躗,竹弓口卜人,HNRYO
躘,口一卜月心,RMYBP
躙,口一日弓土,RMANG
躚,口一卜一山,RMYMU
躛,難竹弓口卜,XHNRY
躜,口一竹山人,RMHUO
躝,口一日弓田,RMANW
躞,口一火火水,RMFFE
躟,口一卜口女,RMYRV
躠,廿竹十人,THJO
躡,口一尸十十,RMSJJ
躢,口一日弓一,RMANM
躣,口一月山土,RMBUG
躤,口一廿手日,RMTQA
躥,口一十金女,RMJCV
躦,口一竹山金,RMHUC
躧,口一一一心,RMMMP
躨,口一廿金水,RMTCE
躩,口一月山水,RMBUE
躪,口一廿日土,RMTAG
身,竹難竹,HXH
躬,竹竹弓,HHN
躭,竹竹中月山,HHLBU
躮,竹竹金尸竹,HHCSH
躯,竹竹尸大,HHSK
躰,竹竹木一,HHDM
躱,竹竹弓尸木,HHNSD
躲,竹竹竹弓木,HHHND
躳,竹竹口口,HHRR
躴,竹竹戈日女,HHIAV
躵,竹竹尸戈心,HHSIP
躶,竹竹田木,HHWD
躷,竹竹竹木女,HHHDV
躸,竹竹大一口,HHKMR
躹,竹竹心火木,HHPFD
躺,竹竹火月口,HHFBR
躻,竹竹十金一,HHJCM
躼,竹竹尸一女,HHSMV
躽,竹竹尸日女,HHSAV
躾,竹竹廿土大,HHTGK
躿,竹竹戈中水,HHILE
軀,竹竹尸口口,HHSRR
軁,竹竹中中女,HHLLV
軂,竹竹火火尸,HHFFS
軃,竹竹口口十,HHRRJ
軄,竹竹卜戈日,HHYIA
軅,竹竹一人土,HHMOG
軆,竹竹廿田廿,HHTWT
軇,竹竹土弓戈,HHGNI
軈,竹竹戈人心,HHIOP
軉,竹竹十一金,HHJMC
車,十田十,JWJ
軋,十十山,JJU
軌,十十大弓,JJKN
軍,月十田十,BJWJ
軎,十十口,JJR
軏,十十一山,JJMU
軐,十十弓十,JJNJ
軑,十十大,JJK
軒,十十一十,JJMJ
軓,十十竹弓戈,JJHNI
軔,十十尸竹戈,JJSHI
軕,難難十十山,XXJJU
軖,十十一土,JJMG
軗,十十竹弓水,JJHNE
軘,十十心山,JJPU
軙,十十卜水,JJYE
軚,十十大戈,JJKI
軛,十十一尸山,JJMSU
軜,十十人月,JJOB
軝,十十竹女心,JJHVP
軞,十十竹手山,JJHQU
軟,十十弓人,JJNO
軠,十十竹土,JJHG
軡,十十人戈弓,JJOIN
転,十十一一戈,JJMMI
軣,十十戈一人,JJIMO
軤,十十竹火木,JJHFD
軥,十十心口,JJPR
軦,十十口竹山,JJRHU
軧,十十竹心一,JJHPM
軨,十十人戈戈,JJOII
軩,十十戈口,JJIR
軪,十十女戈尸,JJVIS
軫,十十人竹竹,JJOHH
軬,戈大十田十,IKJWJ
軭,十十尸一土,JJSMG
軮,十十中月大,JJLBK
軯,十十一火十,JJMFJ
軰,中心十田十,LPJWJ
軱,十十竹女人,JJHVO
軲,十十十口,JJJR
軳,十十心口山,JJPRU
軴,十十卜土,JJYG
軵,十十人木戈,JJODI
軶,十十竹尸弓,JJHSN
軷,十十戈大大,JJIKK
軸,十十中田,JJLW
軹,十十口金,JJRC
軺,十十尸竹口,JJSHR
軻,十十一弓口,JJMNR
軼,十十竹手人,JJHQO
軽,十十水土,JJEG
軾,十十戈心一,JJIPM
軿,十十廿廿,JJTT
輀,十十一月中,JJMBL
輁,十十廿金,JJTC
輂,廿金十田十,TCJWJ
較,十十卜金大,JJYCK
輄,十十火一山,JJFMU
輅,十十竹水口,JJHER
輆,十十卜女人,JJYVO
輇,十十人一土,JJOMG
輈,十十竹月卜,JJHBY
載,十戈十田十,JIJWJ
輊,十十一戈土,JJMIG
輋,山大十十,UKJJ
輌,十十一山月,JJMUB
輍,十十金人口,JJCOR
輎,十十火月,JJFB
輏,十十一金田,JJMCW
輐,十十十一山,JJJMU
輑,十十尸大口,JJSKR
輒,十十尸十山,JJSJU
輓,十十弓日山,JJNAU
輔,十十戈十月,JJIJB
輕,十十一女一,JJMVM
輖,十十月土口,JJBGR
輗,十十竹難山,JJHXU
輘,十十土金水,JJGCE
輙,十十尸十水,JJSJE
輚,十十戈戈,JJII
輛,十十一中月,JJMLB
輜,十十女女田,JJVVW
輝,火山月十十,FUBJJ
輞,十十月廿女,JJBTV
輟,十十水水水,JJEEE
輠,十十田木,JJWD
輡,十十弓竹難,JJNHX
輢,十十大一口,JJKMR
輣,十十月月,JJBB
輤,十十手一月,JJQMB
輥,十十日心心,JJAPP
輦,手人十田十,QOJWJ
輧,難十十卜十,XJJYJ
輨,十十十口口,JJJRR
輩,中卜十田十,LYJWJ
輪,十十人一月,JJOMB
輫,十十中一卜,JJLMY
輬,十十卜口火,JJYRF
輭,十十一月大,JJMBK
輮,十十弓竹木,JJNHD
輯,十十口尸十,JJRSJ
輰,十十日一竹,JJAMH
輱,十十戈竹口,JJIHR
輲,十十山一月,JJUMB
輳,十十手大大,JJQKK
輴,十十竹十山,JJHJU
輵,十十日心女,JJAPV
輶,十十廿金田,JJTCW
輷,十十心卜口,JJPYR
輸,十十人一弓,JJOMN
輹,十十人日水,JJOAE
輺,十十女一田,JJVMW
輻,十十一口田,JJMRW
輼,十十日月廿,JJABT
輽,十十戈大田,JJIKW
輾,十十尸廿女,JJSTV
輿,竹難十金,HXJC
轀,十十田人廿,JJWOT
轁,十十月竹難,JJBHX
轂,土十竹弓水,GJHNE
轃,十十手大木,JJQKD
轄,十十十手口,JJJQR
轅,十十土口女,JJGRV
轆,十十戈難心,JJIXP
轇,十十尸一竹,JJSMH
轈,十十女女木,JJVVD
轉,十十十戈戈,JJJII
轊,十十手十一,JJQJM
轋,十十卜十十,JJYJJ
轌,十十一月尸,JJMBS
轍,十十卜月大,JJYBK
轎,十十竹大月,JJHKB
轏,十十尸弓木,JJSND
轐,十十廿金人,JJTCO
轑,十十大金火,JJKCF
轒,十十十廿金,JJJTC
轓,十十竹木田,JJHDW
轔,十十火木手,JJFDQ
轕,十十廿日女,JJTAV
轖,十十土人田,JJGOW
轗,十十戈口心,JJIRP
轘,十十田中女,JJWLV
轙,十十廿土戈,JJTGI
轚,十水十田十,JEJWJ
轛,十十廿土戈,JJTGI
轜,十十一月月,JJMBB
轝,竹金十田十,HCJWJ
轞,十十尸戈廿,JJSIT
轟,十十十十十,JJJJJ
轠,十十田田田,JJWWW
轡,女火口,VFR
轢,十十女戈木,JJVID
轣,十十一木一,JJMDM
轤,十十卜心廿,JJYPT
轥,十十廿日土,JJTAG
车,十手,JQ
轧,十手山,JQU
轨,大手大弓,KQKN
轩,大手一十,KQMJ
轪,大手大,KQK
轫,大手尸竹戈,KQSHI
转,大手手弓戈,KQQNI
轭,大手一尸山,KQMSU
轮,十手人心,JQOP
软,大手弓人,KQNO
轰,大手水水,KQEE
轱,大手十口,KQJR
轲,大手一弓口,KQMNR
轳,大手卜尸,KQYS
轴,大手中田,KQLW
轵,大手口金,KQRC
轶,大手竹手人,KQHQO
轷,大手竹火木,KQHFD
轸,大手人竹竹,KQOHH
轹,大手竹女木,KQHVD
轺,大手尸竹口,KQSHR
轻,大手弓人一,KQNOM
轼,大手戈心一,KQIPM
载,十戈大手,JIKQ
轾,大手一戈土,KQMIG
轿,大手竹大中,KQHKL
辀,大手竹月卜,KQHBY
辁,大手人一土,KQOMG
辂,大手竹水口,KQHER
较,大手卜金大,KQYCK
辄,大手尸十山,KQSJU
辅,大手戈十月,KQIJB
辆,大手一人月,KQMOB
辇,手人大手,QOKQ
辈,中卜大手,LYKQ
辉,火山月大手,FUBKQ
辊,大手日心心,KQAPP
辋,大手月廿女,KQBTV
辌,大手卜口火,KQYRF
辍,大手水水水,KQEEE
辎,大手女女田,KQVVW
辏,大手手大大,KQQKK
辐,大手一口田,KQMRW
辑,大手口尸十,KQRSJ
辒,大手日月廿,KQABT
输,十手人一弓,JQOMN
辔,難女一口,XVMR
辕,大手土口女,KQGRV
辖,大手十手口,KQJQR
辗,大手尸廿女,KQSTV
辘,大手戈難心,KQIXP
辙,大手卜月大,KQYBK
辚,大手火木手,KQFDQ
辛,卜廿十,YTJ
辜,十口卜廿十,JRYTJ
辝,戈口卜廿十,IRYTJ
辞,竹口卜廿十,HRYTJ
辟,尸口卜廿十,SRYTJ
辠,竹山卜廿十,HUYTJ
辡,卜十卜廿十,YJYTJ
辢,木中卜廿十,DLYTJ
辣,卜十木中,YJDL
辤,月水卜廿十,BEYTJ
辥,山口卜廿十,URYTJ
辦,卜十大尸十,YJKSJ
辧,卜十尸竹十,YJSHJ
辨,卜十戈中十,YJILJ
辩,卜十戈女十,YJIVJ
辪,卜口卜廿十,YRYTJ
辫,卜十女一十,YJVMJ
辬,卜十卜大十,YJYKJ
辭,月月卜廿十,BBYTJ
辮,卜十女火十,YJVFJ
辯,卜十卜口十,YJYRJ
辰,一一一女,MMMV
辱,一女木戈,MVDI
農,廿田一一女,TWMMV
辳,木木一一女,DDMMV
辴,口十一一女,RJMMV
辵,竹竹竹人,HHHO
辶,難卜,XY
辷,卜一,YM
辸,卜弓竹尸,YNHS
边,卜大尸,YKS
辺,卜尸竹,YSH
辻,卜十,YJ
込,卜人,YO
辽,卜弓弓,YNN
达,卜大,YK
辿,卜山,YU
迀,卜一十,YMJ
迁,卜竹十,YHJ
迂,卜一木,YMD
迃,卜一一尸,YMMS
迄,卜人弓,YON
迅,卜弓十,YNJ
迆,卜心木,YPD
过,卜木戈,YDI
迈,卜一尸,YMS
迉,卜尸,YS
迊,卜一中月,YMLB
迋,卜一土,YMG
迌,卜月,YB
迍,卜心山,YPU
迎,卜竹女中,YHVL
迏,卜大戈,YKI
运,卜一一戈,YMMI
近,卜竹一中,YHML
迒,卜卜竹弓,YYHN
迓,卜一女竹,YMVH
返,卜竹水,YHE
迕,卜人十,YOJ
迖,卜戈大,YIK
迗,卜竹大,YHK
还,卜一火,YMF
这,卜卜大,YYK
迚,卜中,YL
进,卜廿廿,YTT
远,卜一一山,YMMU
违,卜手尸,YQS
连,卜大手,YKQ
迟,卜尸人,YSO
迠,卜卜口,YYR
迡,卜尸心,YSP
迢,卜尸竹口,YSHR
迣,竹口竹心一,HRHPM
迤,卜人心木,YOPD
迥,卜月口,YBR
迦,卜大尸口,YKSR
迧,卜中田中,YLWL
迨,卜戈口,YIR
迩,卜弓火,YNF
迪,卜中田,YLW
迫,卜竹日,YHA
迬,卜卜土,YYG
迭,卜竹手人,YHQO
迮,卜竹尸,YHS
迯,卜弓戈卜,YNIY
述,卜戈十金,YIJC
迱,卜十心,YJP
迲,卜土戈,YGI
迳,卜弓人一,YNOM
迴,卜田口,YWR
迵,卜月一口,YBMR
迶,卜大月,YKB
迷,卜火木,YFD
迸,卜廿廿,YTT
迹,卜卜中金,YYLC
迺,卜一金田,YMCW
迻,卜弓戈弓,YNIN
迼,卜土口,YGR
追,卜竹口口,YHRR
迾,卜一弓弓,YMNN
迿,卜心日,YPA
退,卜日女,YAV
送,卜廿大,YTK
适,卜竹十口,YHJR
逃,卜中一人,YLMO
逄,卜竹水手,YHEQ
逅,卜竹一口,YHMR
逆,卜廿山,YTU
逇,卜土心木,YGPD
逈,卜竹月口,YHBR
选,卜竹土山,YHGU
逊,卜弓木火,YNDF
逋,卜戈十月,YIJB
逌,卜卜田尸,YYWS
逍,卜火月,YFB
逎,卜一金田,YMCW
透,卜竹木尸,YHDS
逐,卜一尸人,YMSO
逑,卜戈十水,YIJE
递,卜金弓竹,YCNH
逓,卜竹手月,YHQB
途,卜人一木,YOMD
逕,卜一女一,YMVM
逖,卜大竹火,YKHF
逗,卜一口廿,YMRT
逘,卜戈人大,YIOK
這,卜卜一口,YYMR
通,卜弓戈月,YNIB
逛,卜大竹土,YKHG
逜,卜一一口,YMMR
逝,卜手竹中,YQHL
逞,卜口竹土,YRHG
速,卜木中,YDL
造,卜竹土口,YHGR
逡,卜戈金水,YICE
逢,卜竹水十,YHEJ
連,卜十田十,YJWJ
逤,卜水火竹,YEFH
逥,卜田尸中,YWSL
逦,卜一月月,YMBB
逧,卜金人口,YCOR
逨,卜木人人,YDOO
逩,卜大十廿,YKJT
逪,卜廿日,YTA
逫,卜水水水,YEEE
逬,卜卜十十,YYJJ
逭,卜十口口,YJRR
逮,卜中水,YLE
逯,卜女弓水,YVNE
逰,卜手人木,YQOD
週,卜月土口,YBGR
進,卜人土,YOG
逳,卜卜戈月,YYIB
逴,卜卜日十,YYAJ
逵,卜土金土,YGCG
逶,卜竹木女,YHDV
逷,卜日心竹,YAPH
逸,卜弓山戈,YNUI
逹,卜土廿十,YGTJ
逺,卜土女女,YGVV
逻,卜田中弓,YWLN
逼,卜一口田,YMRW
逽,卜廿大口,YTKR
逾,卜人一弓,YOMN
逿,卜日一竹,YAMH
遀,卜大一月,YKMB
遁,卜竹十山,YHJU
遂,卜廿心人,YTPO
遃,卜卜竹竹,YYHH
遄,卜山一月,YUMB
遅,卜尸廿手,YSTQ
遆,卜卜月月,YYBB
遇,卜田中月,YWLB
遈,卜日一人,YAMO
遉,卜卜月金,YYBC
遊,卜卜尸木,YYSD
運,卜月十十,YBJJ
遌,卜口口尸,YRRS
遍,卜竹尸月,YHSB
過,卜月月口,YBBR
遏,卜日心女,YAPV
遐,卜口卜水,YRYE
遑,卜竹日土,YHAG
遒,卜廿金田,YTCW
道,卜廿竹山,YTHU
達,卜土廿手,YGTQ
違,卜木一手,YDMQ
遖,卜十月十,YJBJ
遗,卜中一人,YLMO
遘,卜廿廿月,YTTB
遙,卜月人山,YBOU
遚,卜竹難水,YHXE
遛,卜竹竹田,YHHW
遜,卜弓木火,YNDF
遝,卜田中水,YWLE
遞,卜竹卜山,YHYU
遟,卜尸卜十,YSYJ
遠,卜土口女,YGRV
遡,卜廿山月,YTUB
遢,卜日尸一,YASM
遣,卜中一口,YLMR
遤,卜尸手火,YSQF
遥,卜月人山,YBOU
遦,卜田十金,YWJC
