㐀,廿一,TM
㗶,口弓人水,RNOE
㗷,口十廿人,RJTO
㗸,口竹人弓,RHON
㗹,口人土心,ROGP
㗺,口一大卜,RMKY
㗻,口卜月月,RYBB
㗼,口廿金木,RTCD
㗽,女中口,VLR
㗾,口廿十心,RTJP
㗿,口日弓口,RANR
㘀,口竹難木,RHXD
㘁,口田中十,RWLJ
㘂,口廿女心,RTVP
㘃,口廿大心,RTKP
㘄,口木田尸,RDWS
㘅,口竹人弓,RHON
㘆,口土口土,RGRG
㘇,口火火木,RFFD
㘈,口心大人,RPKO
㘉,口竹日中,RHAL
㘊,口一月口,RMBR
㘋,口尸水金,RSEC
㘌,口卜人弓,RYON
㘍,口火土戈,RFGI
㘎,口中尸大,RLSK
㘏,卜山口心,YURP
㘐,口尸火大,RSFK
㘑,口土火水,RGFE
㘒,竹土口心,HGRP
㘓,口日弓田,RANW
㘔,口十廿金,RJTC
㘕,口廿尸廿,RTST
㘖,口卜竹金,RYHC
㘗,口月山土,RBUG
㘘,女火口,VFR
㘙,口口口大,RRRK
㘚,口日弓大,RANK
㘛,口人口心,RORP
㘜,人土口,OGR
㘝,田水,WE
㘞,田大尸,WKS
㘟,田廿,WT
㘠,田心竹,WPH
㘡,田田中,WWL
㘢,田火一山,WFMU
㘣,田口月,WRB
㘤,田水中中,WELL
㘥,田月山火,WBUF
㘦,土大尸,GKS
㘧,土弓戈弓,GNIN
㘨,土人月,GOB
㘩,土心心,GPP
㘪,土竹手山,GHQU
㘫,土廿廿,GTT
㘬,土心戈,GPI
㘭,土女戈尸,GVIS
㘮,土尸人,GSO
㘯,土人大尸,GOKS
㘰,土卜十,GYJ
㘱,土土月,GGB
㘲,土尸大弓,GSKN
㘳,中心土,LPG
㘴,口人土,ROG
㘵,土大中月,GKLB
㘶,弓手土,NQG
㘷,土廿大,GTK
㘸,一弓心土,MNPG
㘹,卜心土,YPG
㘺,土人戈,GOI
㘻,土田大,GWK
㘼,土十大尸,GJKS
㘽,十戈土,JIG
㘾,土十一木,GJMD
㘿,土日土,GAG
㙀,土十金弓,GJCN
㙁,土人田卜,GOWY
㙂,土金口山,GCRU
㙃,土人一金,GOMC
㙄,土心心土,GPPG
㙅,土口木,GRD
㙆,土十大戈,GJKI
㙇,土一尸人,GMSO
㙈,土卜心山,GYPU
㙉,土廿月金,GTBC
㙊,土尸一女,GSMV
㙋,土廿一金,GTMC
㙌,土中難,GLX
㙍,土水水水,GEEE
㙎,土戈竹女,GIHV
㙏,土人日水,GOAE
㙐,土山一月,GUMB
㙑,竹月土,HBG
㙒,田弓土,WNG
㙓,土土土土,GGGG
㙔,土木一手,GDMQ
㙕,土田月,GWB
㙖,土竹中月,GHLB
㙗,土田一女,GWMV
㙘,土一田女,GMWV
㙙,水竹土,EHG
㙚,土廿土手,GTGQ
㙛,土戈月戈,GIBI
㙜,卜月土,YBG
㙝,土大尸月,GKSB
㙞,土竹山木,GHUD
㙟,土戈戈月,GIIB
㙠,尸水土,SEG
㙡,土竹人人,GHOO
㙢,土廿中月,GTLB
㙣,土弓尸女,GNSV
㙤,土卜心木,GYPD
㙥,土卜金女,GYCV
㙦,人十土,OJG
㙧,土一中田,GMLW
㙨,土女戈戈,GVII
㙩,土大金火,GKCF
㙪,土土月廿,GGBT
㙫,土人土木,GOGD
㙬,木大土,DKG
㙭,土一廿人,GMTO
㙮,土竹人口,GHOR
㙯,土戈一一戈,GIMMI
㙰,弓手土,NQG
㙱,口山土,RUG
㙲,土卜女土,GYVG
㙳,土戈竹心,GIHP
㙴,土弓金口,GNCR
㙵,土卜口土,GYRG
㙶,卜口火月土,YRFBG
㙷,土日女火,GAVF
㙸,土人廿人,GOTO
㙹,土廿田弓,GTWN
㙺,土尸中金,GSLC
㙻,土戈田土,GIWG
㙼,土田田田,GWWW
